timestamp,site,category,product_name,price_gbp,rating,availability,url,price_change
2026-05-26 10:49:40,TechMart,Laptops,Dell XPS 15,704.62,4★,Out of stock,https://techmart.demo/dell-xps-15,
2026-05-26 10:49:40,GadgetHub,Laptops,Dell XPS 15,680.18,4★,In stock,https://gadgethub.demo/dell-xps-15,
2026-05-26 10:49:40,ShopZone,Laptops,Dell XPS 15,722.75,4★,In stock,https://shopzone.demo/dell-xps-15,
2026-05-26 10:49:40,PriceKing,Laptops,Dell XPS 15,663.51,4★,In stock,https://priceking.demo/dell-xps-15,
2026-05-26 10:49:40,MegaStore,Laptops,Dell XPS 15,706.73,5★,In stock,https://megastore.demo/dell-xps-15,
2026-05-26 10:49:40,TechMart,Laptops,MacBook Pro 14,699.45,4★,In stock,https://techmart.demo/macbook-pro-14,
2026-05-26 10:49:40,GadgetHub,Laptops,MacBook Pro 14,674.32,4★,In stock,https://gadgethub.demo/macbook-pro-14,
2026-05-26 10:49:40,ShopZone,Laptops,MacBook Pro 14,718.42,4★,In stock,https://shopzone.demo/macbook-pro-14,
2026-05-26 10:49:40,PriceKing,Laptops,MacBook Pro 14,660.15,5★,In stock,https://priceking.demo/macbook-pro-14,
2026-05-26 10:49:40,MegaStore,Laptops,MacBook Pro 14,708.27,4★,In stock,https://megastore.demo/macbook-pro-14,
2026-05-26 10:49:40,TechMart,Laptops,HP Spectre x360,697.39,4★,In stock,https://techmart.demo/hp-spectre-x360,
2026-05-26 10:49:40,GadgetHub,Laptops,HP Spectre x360,675.98,4★,Out of stock,https://gadgethub.demo/hp-spectre-x360,
2026-05-26 10:49:40,ShopZone,Laptops,HP Spectre x360,723.35,3★,Low stock,https://shopzone.demo/hp-spectre-x360,
2026-05-26 10:49:40,PriceKing,Laptops,HP Spectre x360,660.67,3★,In stock,https://priceking.demo/hp-spectre-x360,
2026-05-26 10:49:40,MegaStore,Laptops,HP Spectre x360,703.28,4★,Out of stock,https://megastore.demo/hp-spectre-x360,
2026-05-26 10:49:40,TechMart,Laptops,Lenovo ThinkPad X1,704.51,4★,In stock,https://techmart.demo/lenovo-thinkpad-x1,
2026-05-26 10:49:40,GadgetHub,Laptops,Lenovo ThinkPad X1,675.24,4★,In stock,https://gadgethub.demo/lenovo-thinkpad-x1,
2026-05-26 10:49:40,ShopZone,Laptops,Lenovo ThinkPad X1,723.81,3★,In stock,https://shopzone.demo/lenovo-thinkpad-x1,
2026-05-26 10:49:40,PriceKing,Laptops,Lenovo ThinkPad X1,662.59,3★,In stock,https://priceking.demo/lenovo-thinkpad-x1,
2026-05-26 10:49:40,MegaStore,Laptops,Lenovo ThinkPad X1,708.26,4★,In stock,https://megastore.demo/lenovo-thinkpad-x1,
2026-05-26 10:49:40,TechMart,Laptops,Asus ZenBook 14,698.1,4★,In stock,https://techmart.demo/asus-zenbook-14,
2026-05-26 10:49:40,GadgetHub,Laptops,Asus ZenBook 14,675.33,3★,In stock,https://gadgethub.demo/asus-zenbook-14,
2026-05-26 10:49:40,ShopZone,Laptops,Asus ZenBook 14,723.36,5★,In stock,https://shopzone.demo/asus-zenbook-14,
2026-05-26 10:49:40,PriceKing,Laptops,Asus ZenBook 14,667.27,4★,In stock,https://priceking.demo/asus-zenbook-14,
2026-05-26 10:49:40,MegaStore,Laptops,Asus ZenBook 14,704.53,5★,Out of stock,https://megastore.demo/asus-zenbook-14,
2026-05-26 10:49:40,TechMart,Laptops,Acer Swift 5,696.34,4★,In stock,https://techmart.demo/acer-swift-5,
2026-05-26 10:49:40,GadgetHub,Laptops,Acer Swift 5,682.07,4★,In stock,https://gadgethub.demo/acer-swift-5,
2026-05-26 10:49:40,ShopZone,Laptops,Acer Swift 5,719.39,3★,In stock,https://shopzone.demo/acer-swift-5,
2026-05-26 10:49:40,PriceKing,Laptops,Acer Swift 5,662.36,5★,In stock,https://priceking.demo/acer-swift-5,
2026-05-26 10:49:40,MegaStore,Laptops,Acer Swift 5,704.99,3★,In stock,https://megastore.demo/acer-swift-5,
2026-05-26 10:49:40,TechMart,Laptops,MSI Prestige 15,704.81,4★,Out of stock,https://techmart.demo/msi-prestige-15,
